Order ID,Order Date,Order Priority,Order Quantity,Discount,Ship Mode,CustID,ProductID,Ship Date
998,11/26/2016 17:49,Not Specified,8,0.009,Delivery Truck,11,RH9555129,12/25/2016 6:12
2791,10/10/2016 15:59,High,8,0.02,Delivery Truck,21,ZC2191048,10/14/2016 11:57
2791,10/10/2016 9:29,High,9,0.025,Delivery Truck,21,EB1384045,10/12/2016 23:41
2791,10/10/2016 23:29,High,8,0,Delivery Truck,21,AP1091527,11/3/2016 17:19
5316,1/30/2016 9:20,Critical,11,0,Delivery Truck,3,KC1667548,2/2/2016 3:12
5894,8/13/2016 16:59,High,13,0.02,Delivery Truck,31,EM1420082,8/29/2016 19:32
5894,8/13/2016 9:56,High,8,0.011,Delivery Truck,31,DW3480137,9/1/2016 11:53
6116,3/20/2016 3:12,Medium,8,0.015,Delivery Truck,34,LA1678059,4/6/2016 4:58
6884,1/15/2016 19:58,Low,11,0.01,Delivery Truck,33,SZ2003527,2/11/2016 23:32
6884,1/16/2016 19:52,Low,9,0.023,Delivery Truck,33,RM1937558,2/1/2016 15:28
7906,10/18/2016 18:41,Medium,7,0.017,Delivery Truck,38,BK1126011,11/10/2016 9:35
9126,11/18/2016 7:10,Medium,8,0.017,Delivery Truck,12,RW195407,11/22/2016 16:39
10022,3/4/2016 5:39,Low,8,0.005,Delivery Truck,40,NM18520120,3/26/2016 7:15
10437,8/18/2016 4:00,Critical,7,0.009,Delivery Truck,27,EB1411048,9/1/2016 10:49
12544,3/4/2016 17:33,Low,11,0.023,Delivery Truck,13,SM10005116,3/25/2016 9:56
12771,1/17/2016 13:42,Critical,9,0.003,Delivery Truck,4,LH1702027,2/6/2016 11:03
12771,1/17/2016 11:13,Critical,9,0.021,Delivery Truck,4,CR126257,2/12/2016 0:08
13280,9/11/2016 21:41,High,9,0.014,Delivery Truck,17,HG1484545,10/5/2016 17:40
13280,9/11/2016 0:56,High,11,0.021,Delivery Truck,17,CS1184558,10/2/2016 23:52
13313,7/17/2016 17:39,Not Specified,8,0.023,Delivery Truck,33,RA1994545,7/22/2016 21:18
15108,8/27/2016 3:42,High,12,0.004,Delivery Truck,40,AA10480130,9/7/2016 4:59
16451,7/23/2016 18:55,Not Specified,6,0.022,Delivery Truck,27,NC183407,8/9/2016 4:29
16547,2/18/2016 6:15,Not Specified,8,0.001,Delivery Truck,24,JF1519021,2/21/2016 3:18
16547,2/18/2016 13:01,Not Specified,8,0.021,Delivery Truck,24,AB100157,3/14/2016 15:31
17764,9/17/2016 9:13,Low,11,0.021,Delivery Truck,15,NF1847548,10/15/2016 13:30
18080,6/22/2016 5:41,High,8,0.001,Delivery Truck,12,SC20380102,7/1/2016 2:10
18308,10/10/2016 4:21,Not Specified,10,0.022,Delivery Truck,31,AH1007523,10/12/2016 10:16
18308,10/10/2016 16:08,Not Specified,9,0.018,Delivery Truck,31,MZ751560,10/15/2016 22:08
18308,10/9/2016 4:08,Not Specified,13,0.016,Delivery Truck,31,DM1334558,10/23/2016 2:46
19010,6/7/2016 19:35,Low,8,0.001,Delivery Truck,17,SC20305120,6/15/2016 11:27
19078,7/28/2016 2:02,Critical,7,0,Delivery Truck,44,MH1811558,8/26/2016 7:35
19655,1/11/2016 12:38,High,9,0.016,Delivery Truck,18,BG1174078,1/14/2016 7:43
20007,8/5/2016 19:07,Not Specified,8,0.02,Delivery Truck,24,CR126257,8/12/2016 12:10
20263,11/14/2016 3:57,Medium,9,0.004,Delivery Truck,50,CR1282058,12/14/2016 9:03
20263,11/14/2016 5:30,Medium,8,0.005,Delivery Truck,50,BF110807,11/20/2016 13:39
21383,1/31/2016 23:40,Low,6,0.007,Delivery Truck,51,TW2102545,2/17/2016 22:47
21636,8/11/2016 12:08,Low,10,0.012,Delivery Truck,53,AB10060117,8/20/2016 8:24
22342,5/30/2016 0:28,Low,8,0.016,Delivery Truck,10,EB13840139,6/17/2016 0:26
23488,1/6/2016 2:03,Critical,6,0.015,Delivery Truck,20,JC610575,1/18/2016 5:25
24294,8/3/2016 7:13,Not Specified,10,0.019,Delivery Truck,46,GB145307,8/18/2016 0:34
26567,9/4/2016 22:04,Critical,14,0.018,Delivery Truck,12,AP1091559,9/18/2016 14:01
26567,9/4/2016 6:30,Critical,13,0.013,Express Air,12,TM2149031,9/12/2016 11:30
26567,9/5/2016 4:50,Critical,8,0.003,Delivery Truck,12,AW1084091,10/4/2016 9:58
26567,9/4/2016 22:46,Critical,13,0,Delivery Truck,12,SG10605107,9/13/2016 6:22
26854,6/22/2016 15:45,Not Specified,9,0.023,Delivery Truck,57,BM1178582,6/25/2016 1:19
27111,3/12/2016 19:29,High,10,0,Delivery Truck,52,AS10090140,4/3/2016 20:05
27111,3/11/2016 20:12,High,13,0.01,Delivery Truck,52,SF10200134,4/8/2016 3:22
27111,3/11/2016 20:28,High,8,0.025,Express Air,52,EB13840139,4/2/2016 0:42
27555,9/1/2016 14:38,Critical,8,0.002,Delivery Truck,37,SA20830139,9/4/2016 18:57
28135,9/26/2016 23:58,Critical,10,0.02,Delivery Truck,60,PO191957,10/5/2016 16:42
28135,9/25/2016 3:23,Critical,9,0.008,Delivery Truck,60,TS212057,10/24/2016 4:13
28486,8/26/2016 5:10,High,8,0.015,Delivery Truck,9,BD11560139,8/29/2016 11:22
28675,10/8/2016 12:01,Critical,9,0.016,Delivery Truck,37,PS1876059,11/5/2016 16:51
29287,7/3/2016 3:37,High,8,0.015,Delivery Truck,22,CD1279048,7/30/2016 2:11
29287,7/2/2016 8:00,High,8,0.005,Delivery Truck,22,NL1831092,7/11/2016 18:11
